feature,importance
bedrooms,0.13134788654765414
accommodates,0.11486749858689126
neighbourhood_cleansedIndex,0.10831199509765672
cancellation_policyIndex,0.08396585264146804
minimum_nights,0.08156680229814399
beds,0.0741098242556692
latitude,0.052543319206907475
property_typeIndex,0.050183719970079026
bathrooms,0.042867513537046535
number_of_reviews,0.03473570177893882
review_scores_value,0.025308163724293332
review_scores_rating,0.024964879147576297
host_total_listings_count,0.024206890140122672
instant_bookableIndex,0.0234257143455489
host_is_superhostIndex,0.02140533853173475
longitude,0.021026272680386315
room_typeIndex,0.01872345227299372
review_scores_location,0.009681512979667926
review_scores_cleanliness_na,0.009545472096499752
review_scores_communication,0.006760552420457192
review_scores_rating_na,0.00673820038016705
review_scores_checkin_na,0.006560682268649557
review_scores_location_na,0.00564695624670217
review_scores_communication_na,0.005053435013977137
review_scores_value_na,0.004741964629718289
review_scores_accuracy_na,0.00405206923489452
review_scores_cleanliness,0.003931061144563468
review_scores_accuracy,0.0023978598067771585
review_scores_checkin,0.001163618065047753
bed_typeIndex,0.00014452701826939748
bedrooms_na,2.0657316956057946e-05
beds_na,3.323179981002069e-07
bathrooms_na,2.742965431864313e-07
